scheme_or_product_name,benefit_name,scheme_type,provider_category,provider_name,government_level,state_or_ut,financial_instrument_type,benefit_category_tags,business_stage_tags,sector_tags,msme_segment_tags,benefit_summary,benefit_calculation_logic,maximum_benefit_amount,minimum_benefit_amount,loan_amount_range,interest_rate_or_subvention,collateral_requirement,guarantee_coverage,repayment_tenure,moratorium,margin_contribution_required,application_channel,application_url,official_source_url,policy_document_url,secondary_source_url,source_type,source_confidence,active_status,active_status_evidence,priority_tier,accessibility_status,last_verified_date,notes,verification_needed,duplicate_or_related_scheme_notes
PM Formalisation of Micro Food Processing Enterprises (PMFME),Credit-linked grant for common infrastructure and branding/marketing,government_scheme,central_government,Ministry of Food Processing Industries (MoFPI),central,all_india,capital_subsidy,capital_investment_subsidy|marketing_procurement,existing_enterprise|expansion,food_processing,micro|women_led|rural_enterprise,"Credit-linked grant to FPOs, SHGs, cooperatives and government agencies for common infrastructure (processing, storage, packaging, incubation), plus marketing and branding support for group beneficiaries.","35pct credit-linked grant for common infrastructure, subject to a maximum of 3 crore. Branding and marketing support to FPOs/SHGs/cooperatives/SPVs at 50pct of total expenditure (with DPR support up to 5 lakh from the State Nodal Agency).",30000000,unknown,unknown,roi_per_bank,unknown,unknown,unknown,unknown,unknown,through_department_approval,https://pmfme.mofpi.gov.in,https://pmfme.mofpi.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2199453,https://cleartax.in/s/pmfme-scheme,official_government,high_official_current,confirmed_active,Common-infrastructure and branding components described in current PMFME guidelines and PIB release,tier_2_segment_specific,through_department_approval,2026-07-03,Common infrastructure must be available to other units on a hiring basis for a substantial part of capacity. NAFED/TRIFED support branding and marketing.,no,Component of PMFME; see individual subsidy and SHG seed-capital rows
Production Linked Incentive Scheme for Food Processing Industry (PLISFPI),Incentive on incremental sales of processed food,government_scheme,central_government,Ministry of Food Processing Industries (MoFPI),central,all_india,reimbursement,capital_investment_subsidy|marketing_procurement,existing_enterprise|expansion,food_processing,small|medium,"Performance-linked incentive paid on incremental sales of eligible processed-food products (and for branding/marketing abroad), aimed primarily at larger food processing companies but with some components relevant to growing MSMEs.","Incentive computed as a percentage of incremental sales over a base year, subject to eligibility thresholds on minimum sales and committed investment; separate support for branding/marketing abroad. Thresholds generally favour mid-to-large firms.",unknown,unknown,not_applicable,incentive_on_incremental_sales,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_department_approval,https://www.mofpi.gov.in,https://www.mofpi.gov.in,unknown,unknown,official_government,medium_official_stale,likely_active_but_not_recently_updated,PLISFPI is an approved MoFPI scheme; application windows are periodic and eligibility is threshold-based,tier_3_limited_access_or_low_discoverability,periodic_window,2026-07-03,"Primarily targets larger food processing firms (minimum sales/investment thresholds); MSME applicability is limited to specific components (for example millet-based products, SME/innovative categories). Confirm current window and thresholds.",yes,Complements PMFME (which targets micro units); different instrument (incentive vs subsidy)
Agri Clinics and Agri Business Centres (ACABC) Scheme,Credit-linked composite subsidy for agri-entrepreneurs,government_scheme,central_government,Ministry of Agriculture and Farmers Welfare (NABARD as subsidy channelising agency),central_backed,all_india,capital_subsidy,capital_investment_subsidy|credit_access|skilling_capacity_financial,idea_or_pre_startup|startup_early_stage,agriculture_allied|services,youth_first_generation|women_led|sc_st_entrepreneur|rural_enterprise,"Supports agriculture graduates/diploma holders to set up agri-clinics and agri-business ventures, providing free training and handholding plus a bank loan with a back-ended credit-linked composite subsidy.","Credit-linked back-ended composite subsidy of 36pct of project cost for general category and 44pct for SC/ST, women, NER and hill-area candidates. Individual project ceiling commonly cited around 20 lakh (higher for group ventures). NABARD channels the subsidy.",unknown,unknown,unknown,roi_per_bank,collateral_free,unknown,unknown,unknown,unknown,through_bank_or_financial_institution,https://www.agriclinics.net,https://www.nabard.org/content1.aspx?id=595&catid=23&mid=23,unknown,unknown,official_institution,high_official_current,confirmed_active,NABARD page shows FY2024-25 continuation circular and 2025 revised programme instructions; beneficiary list to 31.03.2025,tier_2_segment_specific,through_bank_or_financial_institution,2026-07-03,"Eligibility limited to agriculture/allied graduates, diploma or PG holders as specified. Confirm current subsidy ceiling and project-cost limits from the 2025 revised guidelines.",yes,Ministry of Agriculture scheme with NABARD as channelising agency; relevant to agri-allied MSMEs
Agriculture Infrastructure Fund (AIF),3pct interest subvention and guarantee for agri-infrastructure,government_scheme,central_government,Ministry of Agriculture and Farmers Welfare (NABARD/banks as lenders),central_backed,all_india,interest_subvention,interest_relief|credit_access|capital_investment_subsidy,existing_enterprise|expansion,agriculture_allied|food_processing,micro|small|medium|rural_enterprise,"Financing facility for post-harvest management and community farming assets and agri-processing infrastructure, offering an interest subvention and credit-guarantee support on eligible loans.","Interest subvention of 3pct per annum on loans up to 2 crore, for up to 7 years. Credit-guarantee cover available (for example via CGTMSE) on eligible loans up to 2 crore. Loans above 2 crore are eligible for the facility without the subvention on the excess.",unknown,unknown,0-20000000,subvention_3pct_up_to_2cr,collateral_free,via_cgtmse_up_to_2cr,up_to_84_months,unknown,unknown,open_online,https://agriinfra.dac.gov.in,https://agriinfra.dac.gov.in,unknown,https://kip4business.com/nabard-subsidy-and-agriculture-infrastructure-fund-a-comprehensive-guide/,official_government,medium_secondary_supported,confirmed_active,AIF is an ongoing central scheme with a live application portal (agriinfra.dac.gov.in),tier_2_segment_specific,open_online,2026-07-03,"Eligible beneficiaries include FPOs, agri-entrepreneurs, startups, primary processing units and others. Relevant to agri-allied and food-processing MSMEs. Confirm current subvention cap and eligible-activity list.",yes,Complements PMFME for food-processing/storage infrastructure
Rebate of State and Central Taxes and Levies (RoSCTL) Scheme,Rebate of embedded state/central taxes on apparel and made-ups exports,export_policy_benefit,central_government,Ministry of Textiles (DGFT for scrip issuance),central,all_india,tax_reimbursement,export_support|tax_duty_relief,existing_enterprise|expansion,textiles|export_oriented,micro|small|medium|exporter,"Rebate of embedded state and central taxes and levies on exports of readymade garments/apparel and made-ups, issued as transferable, saleable duty-credit scrips based on FOB value.",Rebate as a percentage of FOB value per notified schedule; reported maximum around 6.05pct for apparel and 8.2pct for made-ups. Claimed via online ANF 4R on the DGFT portal with a digital signature. Textile products not covered under RoSCTL fall under RoDTEP.,unknown,unknown,not_applicable,rebate_up_to_6.05pct_apparel_8.2pct_madeups,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://www.dgft.gov.in,https://texmin.nic.in,unknown,https://exportexpertsglobal.com/export-incentives/,official_government,medium_secondary_supported,confirmed_active,"Ministry of Textiles confirmed RoSCTL as being implemented for apparel/made-ups (Rajya Sabha reply, 20 Mar 2026)",tier_2_segment_specific,open_online,2026-07-03,"Textile-specific counterpart to RoDTEP, generally at higher rates. Confirm current per-item rates from the notified RoSCTL schedule.",yes,Related to RoDTEP (C3) which covers non-RoSCTL textile lines
ECGC Export Credit Insurance,Export credit insurance cover for exporters and banks,government_backed_financial_scheme,public_institution,ECGC Ltd (Ministry of Commerce and Industry),central_backed,all_india,insurance_support,export_support|insurance_risk_cover|credit_access,existing_enterprise|expansion,export_oriented|manufacturing|services,micro|small|medium|exporter,"Export credit insurance from ECGC that protects exporters against non-payment by overseas buyers and protects banks lending export credit, improving MSME exporters' access to and cost of credit.",Cover up to about 90pct of principal and interest for banks on export credit; enhanced 90pct cover for banks on export credit loans up to 50 crore (raised from 20 crore) effective 01.10.2025; collateral-free cover under WT-ECIB; concessional premiums for small exporters.,unknown,unknown,not_applicable,not_applicable,collateral_free,up_to_90pct,not_applicable,not_applicable,not_applicable,through_bank_or_financial_institution,https://www.ecgc.in,https://www.ecgc.in,unknown,https://www.technicaltextiles.in/assessment-of-imports-in-textile-industry/,official_institution,medium_secondary_supported,confirmed_active,ECGC enhancements for MSME exporters effective 01.10.2025 confirmed in Ministry of Textiles Rajya Sabha reply (20 Mar 2026),tier_2_segment_specific,through_bank_or_financial_institution,2026-07-03,"Benefit is risk cover/insurance, not a cash transfer; it lowers lenders' risk and improves credit access and pricing for MSME exporters. NIRVIK is the enhanced-cover branding. Confirm current products and premiums from ecgc.in.",yes,"Complements export finance rows (interest subvention, CGSE)"
Credit Guarantee Scheme for Exporters (CGSE),Additional collateral-free working capital for MSME exporters,credit_guarantee_scheme,central_government,Ministry of Commerce and Industry (under Export Promotion Mission),central,all_india,credit_guarantee,export_support|credit_access|working_capital|collateral_substitution,existing_enterprise|expansion,export_oriented|manufacturing,micro|small|medium|exporter,"Guarantee-backed additional working-capital credit for eligible exporters, particularly MSMEs, enabling collateral-free access over and above existing limits under the Export Promotion Mission.","Provides additional credit support of up to 20pct of existing working-capital limits to eligible borrowers, particularly MSMEs, by enabling collateral-free access under a guarantee.",unknown,unknown,unknown,not_applicable,collateral_free,unknown,unknown,unknown,not_applicable,through_bank_or_financial_institution,https://www.commerce.gov.in,https://commerce.gov.in,unknown,https://www.technicaltextiles.in/assessment-of-imports-in-textile-industry/,official_government,medium_secondary_supported,likely_active_but_not_recently_updated,"CGSE approved under the Export Promotion Mission (Ministry of Textiles Rajya Sabha reply, 20 Mar 2026); operational rollout to confirm",tier_2_segment_specific,through_bank_or_financial_institution,2026-07-03,Recently approved under the Export Promotion Mission; operational guidelines and lender onboarding should be confirmed before publication. This is the export credit-guarantee component flagged during C3.,yes,Part of the Export Promotion Mission (Niryat Protsahan); complements the interest subvention row in C3
PM Vishwakarma Scheme,Collateral-free Enterprise Development Loan (two tranches),government_scheme,central_government,Ministry of MSME,central,all_india,collateral_free_loan,credit_access|interest_relief|collateral_substitution,existing_enterprise|expansion,handicrafts|manufacturing|services,artisan|micro|women_led|sc_st_entrepreneur|obc_entrepreneur,"Collateral-free enterprise loan to registered artisans/craftspeople in 18 traditional trades, in two tranches at a concessional 5pct interest, with government interest subvention and a graded credit guarantee.",Tranche 1 up to 1 lakh (18-month repayment); tranche 2 up to 2 lakh (30-month repayment) after repaying tranche 1 and completing advanced training or adopting digital transactions. Beneficiary pays 5pct; GoI provides 8pct interest subvention. CGTMSE graded portfolio guarantee.,300000,unknown,0-300000,5pct_to_borrower_8pct_subvention,collateral_free,graded_cgtmse_portfolio,18_to_30_months,unknown,not_applicable,open_offline,https://pmvishwakarma.gov.in,https://pmvishwakarma.gov.in,unknown,https://cleartax.in/s/pradhan-mantri-vishwakarma-scheme,official_government,high_official_current,confirmed_active,"pmvishwakarma.gov.in live; 4.7 lakh loans worth ~41,188 crore sanctioned by Aug 2025 (IBEF/PIB)",tier_1_high_priority,open_offline,2026-07-03,Registration via Common Service Centres with Aadhaar biometrics. Basic training required before tranche 1. Not for those who took PMEGP/PM SVANidhi/MUDRA in the last 5 years. Scheme runs FY2023-24 to FY2027-28.,no,Also provides toolkit incentive and stipend/digital incentive (separate rows)
PM Vishwakarma Scheme,Toolkit incentive (e-voucher),government_scheme,central_government,Ministry of MSME,central,all_india,grant,capital_investment_subsidy|technology_upgradation,existing_enterprise,handicrafts|manufacturing,artisan|micro|women_led|sc_st_entrepreneur,"One-time toolkit incentive provided as an e-RUPI voucher to registered artisans at the start of basic training, to buy modern trade-specific tools. It is a grant, not a loan.","Flat 15,000 e-voucher per beneficiary, after skill verification, at the start of basic training. Usable only to purchase tools (not withdrawable as cash).",15000,15000,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_offline,https://pmvishwakarma.gov.in,https://pmvishwakarma.gov.in,unknown,https://cleartax.in/s/pradhan-mantri-vishwakarma-scheme,official_government,high_official_current,confirmed_active,Toolkit e-voucher described in current scheme guidelines; over 6 lakh beneficiaries given tools/loans by Sep 2024 (PIB),tier_2_segment_specific,open_offline,2026-07-03,"e-RUPI voucher, tool-purchase only. Delivered after skill assessment at the start of basic training.",no,Component of PM Vishwakarma; see loan and stipend/digital rows
PM Vishwakarma Scheme,Training stipend and digital-transaction incentive,government_scheme,central_government,Ministry of MSME,central,all_india,grant,skilling_capacity_financial,existing_enterprise,handicrafts|manufacturing|services,artisan|micro|women_led|sc_st_entrepreneur,Cash support to registered artisans: a daily stipend during skill training and a small per-transaction incentive to encourage adoption of digital payments.,"Training stipend of 500 per day during basic (5-7 days) and advanced (15+ days) training. Digital-transaction incentive of 1 per eligible digital transaction, capped at 100 transactions per month.",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_offline,https://pmvishwakarma.gov.in,https://pmvishwakarma.gov.in,unknown,https://anantamias.com/pm-vishwakarma-yojana-details/,official_government,high_official_current,confirmed_active,Stipend and digital-incentive components described in current scheme guidelines,tier_3_limited_access_or_low_discoverability,open_offline,2026-07-03,Combined here as two small cash incentives under one benefit. Stipend value depends on number of training days; digital incentive capped at 100/month.,no,Component of PM Vishwakarma; see loan and toolkit rows
Trade Receivables Discounting System (TReDS),Collateral-free invoice discounting of MSME receivables,government_backed_financial_scheme,public_institution,"RBI-regulated TReDS platforms (RXIL, M1xchange, Invoicemart, KredX DTX)",central_backed,all_india,invoice_discounting,working_capital|credit_access,existing_enterprise|expansion,manufacturing|services|trading,micro|small|medium,"RBI-regulated digital platforms let MSME suppliers sell their invoices raised on large corporates, PSUs and government departments to banks/NBFCs through competitive bidding, obtaining early, collateral-free, non-recourse payment.",MSME receives the discounted invoice value upfront; financiers bid competitively (reported effective rates around 5-8pct per annum). No collateral and no recourse to the MSME if the buyer defaults.,unknown,unknown,not_applicable,discount_approx_5_to_8pct,collateral_free,not_applicable,invoice_tenor,not_applicable,not_applicable,open_online,https://www.sidbi.in/treds,https://www.sidbi.in/treds,unknown,https://blucrest.in/treds-platform-a-practical-guide/,official_institution,high_official_current,confirmed_active,"RBI-regulated; buyer onboarding mandatory for companies above 250 crore turnover and CPSEs (by 31 Mar 2025); ~1.38 lakh crore financed FY24, growing",tier_1_high_priority,open_online,2026-07-03,"Benefit is early liquidity on receivables, not a subsidy. Requires the buyer to also be on a TReDS platform. GeM Sahay is a related invoice-based financing facility for GeM sellers (noted in methodology).",no,Related to invoice_discounting under SIDBI/RXIL; complements working-capital schemes
RBI Collateral-Free Lending Norm for Micro and Small Enterprises,Mandatory collateral-free credit up to 20 lakh (25 lakh discretionary),government_backed_financial_scheme,public_institution,Reserve Bank of India,central,all_india,collateral_free_loan,credit_access|collateral_substitution,startup_early_stage|existing_enterprise|all_stages,manufacturing|services|sector_agnostic,micro|small,"RBI regulatory mandate under which banks and NBFCs cannot demand collateral for loans to micro and small enterprises up to a specified ceiling, improving formal-credit access for asset-light small businesses.","Mandatory no-collateral for MSE loans up to 20 lakh (raised from 10 lakh), effective 01 April 2026 under the Lending to MSME Sector (Amendment) Directions, 2026. Banks may extend collateral-free loans up to 25 lakh for units with a good track record and sound financials. Also applies to PMEGP-financed units. Credit guarantee (for example CGTMSE) may be used.",unknown,unknown,0-2500000,not_applicable,collateral_free,via_cgtmse_where_applicable,not_applicable,not_applicable,not_applicable,through_bank_or_financial_institution,https://www.rbi.org.in,https://www.rbi.org.in,unknown,https://taxguru.in/rbi/rbi-expanded-collateral-free-msme-loans-rs-25-lakh-norms.html,official_institution,high_official_current,confirmed_active,"RBI Lending to MSME Sector (Amendment) Directions, 2026 raise the mandatory collateral-free limit to 20 lakh, effective 01 Apr 2026",tier_1_high_priority,through_bank_or_financial_institution,2026-07-03,"This is a lending norm (regulatory benefit), not a scheme with an application; it underpins collateral-free access across bank MSE lending. Voluntary pledge of gold/silver within the limit is not treated as a violation.",no,"Interacts with CGTMSE, PMEGP, MUDRA and bank MSME products captured in other batches"
National Livestock Mission - Entrepreneurship Development (NLM-EDP),50pct capital subsidy for livestock entrepreneurship,government_scheme,central_government,Department of Animal Husbandry and Dairying,central,all_india,capital_subsidy,capital_investment_subsidy|credit_access,idea_or_pre_startup|startup_early_stage|expansion,agriculture_allied,micro|small|women_led|sc_st_entrepreneur|rural_enterprise,"Credit-linked capital subsidy to entrepreneurs, FPOs, SHGs and companies for setting up livestock ventures (poultry, sheep, goat, piggery, feed and fodder units), to promote private investment and employment in animal husbandry.","50pct capital subsidy of eligible project cost, with component ceilings: up to 25 lakh (rural poultry), up to 50 lakh (sheep/goat and feed/fodder units), up to 30 lakh (piggery). Beneficiary brings a minimum share; balance via bank loan. Land, personal vehicles and working capital are excluded from subsidy.",5000000,unknown,unknown,roi_per_bank,unknown,unknown,unknown,unknown,25pct,open_online,https://nlm.udyamimitra.in,https://dahd.gov.in,unknown,https://kipfinancial.com/government-subsidy-with-national-livestock-mission-nlm-2025-a-game-changer-for-livestock-entrepreneurs/,official_government,medium_secondary_supported,confirmed_active,NLM entrepreneurship component described as current (2025-26) with a live application route via udyamimitra,tier_2_segment_specific,open_online,2026-07-03,"Ministry of Fisheries, Animal Husbandry and Dairying scheme; relevant to agri-allied/rural MSMEs. DPR and bank sanction required. Confirm current component ceilings from DAHD guidelines.",yes,Earlier NLM-EDEG/DEDS windows were closed; this is the current entrepreneurship component
NABARD Credit-Linked Capital Subsidy for Warehousing/Godowns,Capital subsidy for construction of agri storage/godown,government_scheme,development_finance_institution,NABARD (with financing banks),central_backed,all_india,capital_subsidy,capital_investment_subsidy|credit_access,existing_enterprise|expansion,agriculture_allied|food_processing,micro|small|medium|rural_enterprise,"Credit-linked capital subsidy channelled via NABARD for construction/renovation of rural godowns and agri-storage infrastructure, benefiting agri-allied MSMEs, FPOs and rural entrepreneurs.","Subsidy on eligible project cost with a permissible construction cost cap (reported around 3,000 per MT). Reported rates: 33.33pct (max about 50 lakh) for FPOs, panchayats, women, SC/ST and SHGs; 25pct (max about 37.5 lakh) for other categories.",5000000,unknown,unknown,roi_per_bank,unknown,unknown,unknown,unknown,unknown,through_bank_or_financial_institution,https://www.nabard.org,https://www.nabard.org,unknown,https://kipfinancial.com/nabard-subsidy-on-warehouse/,official_institution,medium_secondary_supported,likely_active_but_not_recently_updated,Described as a current NABARD credit-linked capital subsidy for godown construction; figures from secondary sources,tier_3_limited_access_or_low_discoverability,through_bank_or_financial_institution,2026-07-03,"Overlaps with the Agriculture Marketing Infrastructure (AMI) sub-scheme and the Agriculture Infrastructure Fund. Confirm the current operative window, rates and ceilings from NABARD.",yes,Related to AIF and AMI (agri-storage/marketing infrastructure)
National SC-ST Hub (NSSH),Financial incentives for SC/ST MSEs (reimbursements and procurement support),government_scheme,central_government,"Ministry of MSME (National SC-ST Hub, implemented by NSIC)",central,all_india,reimbursement,marketing_procurement|quality_certification|skilling_capacity_financial,existing_enterprise,manufacturing|services|sector_agnostic,sc_st_entrepreneur|micro|small,"A set of financial incentives to help SC/ST-owned MSEs participate in public procurement and build capacity, including reimbursements for e-commerce membership, training and certification, and support linked to the special SC/ST capital subsidy.","Includes reimbursement of e-commerce portal membership fees (for example GeM, TRIFED) at 80pct or maximum 25,000 per financial year, reimbursement of top-institute short-course fees, and other procurement-participation support. Linked to SCLCSS (25pct capital subsidy, captured in the Ministry of MSME batch).",25000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://www.scsthub.in,https://www.scsthub.in,unknown,unknown,official_government,medium_official_stale,confirmed_active,scsthub.in describes current financial-assistance components; scheme reviewed by MSME Minister in Aug 2024,tier_2_segment_specific,open_online,2026-07-03,Bundles several small financial incentives for SC/ST MSEs. Max shown is the e-commerce membership reimbursement cap; other components (course-fee and certification reimbursements) have separate caps to confirm. SCLCSS is the linked capital subsidy.,yes,Linked to SCLCSS (Ministry of MSME batch) and NSIC SPRS
